2020-06-04 style: format sources
2020-06-06 docs: clarify setup steps
2020-06-12 docs: note deployment caveat
2020-06-12 docs: update README notes
2020-06-15 chore: bump internal marker
2020-06-28 fix: patch edge case in config
2020-07-05 build: adjust tooling scripts
2020-07-11 docs: update README notes
2020-07-14 build: adjust tooling scripts
2020-07-18 fix: guard null reference
2020-07-18 docs: update README notes
2020-07-19 docs: note deployment caveat
2020-08-01 chore: bump internal marker
2020-08-07 refactor: simplify module wiring
2020-08-11 chore: sync local changes
2020-08-11 chore: tidy project layout
2020-08-20 fix: handle empty input
2020-08-27 chore: tidy project layout
2020-09-01 refactor: extract shared utility
2020-09-07 chore: sync local changes
